Algorithm,Size,Time(ms),Memory(bytes),Allocations
Bubble,100,0.1024,400,1
Selection,100,0.1082,21620,109
Insertion,100,0.033,800,2
Fast,100,0.1598,12771,533
Merge,100,0.1778,14788,913
Counting,100,0.126,800,2
Bubble,500,2.4742,2000,1
Selection,500,1.9678,507092,511
Insertion,500,0.841,4000,2
Fast,500,0.7908,97324,2708
Merge,500,1.0386,90532,4495
Counting,500,0.1814,4000,2
Bubble,1000,9.4996,4000,1
Selection,1000,7.1696,2014188,1012
Insertion,1000,2.9594,8000,2
Fast,1000,1.6086,217711,5380
Merge,1000,2.02,201252,9006
Counting,1000,0.1572,8000,2
Bubble,5000,216.032,20000,1
Selection,5000,171.967,50095532,5015
Insertion,5000,70.1218,40000,2
Fast,5000,7.893,1383724,24225
Merge,5000,11.1506,1520452,46907
Counting,5000,0.3664,40000,2
Bubble,10000,845.193,40000,1
Selection,10000,677.507,200191068,10016
Insertion,10000,276.401,80000,2
Fast,10000,15.1652,2956152,42720
Merge,10000,23.1706,3291972,93834
Counting,10000,0.5812,80000,2
